Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;FLC005__Bodenflaeche__qkm
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-2;Verkehr;18047,03
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-21;Straßenverkehr;9426,84
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-22;Weg;6697,71
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-23;Platz;348,80
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-24;Bahnverkehr;1170,45
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-25;Flugverkehr;378,58
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-26;Schiffsverkehr;24,64
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-3;Vegetation;298064,71
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-31;Landwirtschaft;181624,93
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-32;Wald;106545,95
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-33;Gehölz;4121,42
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-34;Heide;680,66
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-35;Moor;804,04
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-36;Sumpf;382,13
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-37;Unland, Vegetationslose Fläche;3905,59
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-4;Gewässer;8201,82
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-41;Fließgewässer;3639,66
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-42;Hafenbecken;73,75
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-43;Stehendes Gewässer;4153,48
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-44;Meer;334,93
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2018;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;;Insgesamt;357581,54
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2019;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-1;Siedlung;33433,07
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2019;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-11;Wohnbaufläche;13824,40
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2019;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-12;Industrie- und Gewerbefläche;6210,52
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2019;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-121;Industrie und Gewerbe;3836,32
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2019;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-13;Halde;152,99
33111;Flächenerhebung nach Art der tatsächlichen Nutzung;STAG;Stichtag;31.12.2019;DINSG;Deutschland insgesamt;DG;Deutschland;ADV09A;Nutzungsarten;ADVN09-14;Bergbaubetrieb;11,27
